recipe,cuisine,servings,time_to_cook,difficulty,calories,ingredient,quantity,unit
pie,American,8,45,Intermediate,380,apple,3,each
pie,American,8,45,Intermediate,380,flour,1.5,cup
pie,American,8,45,Intermediate,380,sugar,1,cup
pie,American,8,45,Intermediate,380,butter,0.75,cup
pie,American,8,45,Intermediate,380,cinnamon,1,tsp
banana bread,American,12,60,Easy,230,banana,3,each
banana bread,American,12,60,Easy,230,flour,1.5,cup
banana bread,American,12,60,Easy,230,sugar,1,cup
banana bread,American,12,60,Easy,230,butter,0.75,cup
banana bread,American,12,60,Easy,230,eggs,2,each
banana bread,American,12,60,Easy,230,baking powder,1,tsp
banana bread,American,12,60,Easy,230,salt,0.5,tsp
banana bread,American,12,60,Easy,230,vanilla,1,tsp
banana bread,American,12,60,Easy,230,nutmeg,0.5,tsp
noodle soup,American,6,60,Easy,240,onion,1,each
noodle soup,American,6,60,Easy,240,celery,2,each
noodle soup,American,6,60,Easy,240,broth,4,cup
noodle soup,American,6,60,Easy,240,rice,0.5,cup
tacos al pastor,Mexican,6,45,Intermediate,340,pork shoulder,2,lbs
tacos al pastor,Mexican,6,45,Intermediate,340,pineapple,1,each
tacos al pastor,Mexican,6,45,Intermediate,340,corn tortillas,12,each
tacos al pastor,Mexican,6,45,Intermediate,340,onion,1,each
tacos al pastor,Mexican,6,45,Intermediate,340,cilantro,1,bunch
tacos al pastor,Mexican,6,45,Intermediate,340,lime,1,each
chiles en nogada,Mexican,6,120,Difficult,480,poblano peppers,6,each
chiles en nogada,Mexican,6,120,Difficult,480,ground pork,1,lb
chiles en nogada,Mexican,6,120,Difficult,480,apple,1,each
chiles en nogada,Mexican,6,120,Difficult,480,pear,1,each
chiles en nogada,Mexican,6,120,Difficult,480,walnuts,1,cup
chiles en nogada,Mexican,6,120,Difficult,480,almonds,1,cup
chiles en nogada,Mexican,6,120,Difficult,480,milk,1,cup
chiles en nogada,Mexican,6,120,Difficult,480,cream cheese,4,oz
brownies,American,12,40,Easy,200,unsalted butter,0.5,cup
brownies,American,12,40,Easy,200,sugar,1,cup
brownies,American,12,40,Easy,200,eggs,2,each
brownies,American,12,40,Easy,200,vanilla extract,1,tsp
brownies,American,12,40,Easy,200,cocoa powder,0.5,cup
brownies,American,12,40,Easy,200,flour,0.5,cup
brownies,American,12,40,Easy,200,salt,0.3,tsp
brownies,American,12,40,Easy,200,baking powder,0.3,tsp
parmesan,Italian,4,60,Intermediate,400,flour,0.5,cup
parmesan,Italian,4,60,Intermediate,400,eggs,2,each
parmesan,Italian,4,60,Intermediate,400,bread crumbs,1.5,cup
parmesan,Italian,4,60,Intermediate,400,salt,0.5,tsp
parmesan,Italian,4,60,Intermediate,400,black pepper,0.5,tsp
parmesan,Italian,4,60,Intermediate,400,marinara sauce,2,cup
spaghetti bolognese,Italian,4,90,Intermediate,500,ground beef,1,lbs
spaghetti bolognese,Italian,4,90,Intermediate,500,onion,1,each
spaghetti bolognese,Italian,4,90,Intermediate,500,garlic cloves,3,each
spaghetti bolognese,Italian,4,90,Intermediate,500,carrot,1,each
spaghetti bolognese,Italian,4,90,Intermediate,500,celery,1,each
spaghetti bolognese,Italian,4,90,Intermediate,500,crushed tomatoes,28,oz
spaghetti bolognese,Italian,4,90,Intermediate,500,red wine,1,cup
spaghetti bolognese,Italian,4,90,Intermediate,500,olive oil,2,tbsp
